id,name,stockQuantity,buyingPrice,sellingPrice,brand,type,imageUrl
S001,Blue Pen,100,0.25,0.50,Pilot,Pen,https://scooboo.in/cdn/shop/files/uni-one-p-05-gel-pen-gel-pens-scooboouni4902778302859umnsp0546-330514.jpg?v=1725951183DZmm22sdBj6IfRKO8rXyTjTLKq5MntoQYAOoCGkHh5vhcl2Mk_6oPTMiQl6PcxRYerSXesLR10w4FhqsorB-jWGsg9DRTd5swC_FQVnzVP8tZw
S002,Notebook A5,50,1.20,2.00,Classmate,Notebook,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR2A567qrxwWopxUcmK1tkROsXjGHQYqu_Od7Ws-3MVgcNhTDg4NFmkzDtrOiIBRQYWaJ5UY7HRYCPImXFj-pL1UCfRwDLoE5MO2fC-snL6dfPbxmcUkM2M
S003,Eraser Soft,200,0.10,0.25,Faber-Castell,Eraser,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT468lhoR7N3BKxcg1BnzMXQ6hmLe3h-YHrVWQOHqq3ncpKFRm_XymCqjxcQ3pf9AYpTa5WV7LFtx3Q3ycEKl9vl8CuZY_xZ05QTPeiZGq3zjZV46OB6Euz
S004,Highlighter Yellow,80,0.40,0.90,Stabilo,Highlighter,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSAR67W-cKnUKDtcbYEXliZ5_Wzdh5blZha2PRIINGgGMi8yPVIQhWvBGChXRwN_v3YX5K9ICXUuh9ISfKjk0coXb-xhwzKXqU2RcgIAy3EaUjVXjPwuyzE3Q
S005,Glue Stick,60,0.70,1.50,UHU,Glue,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTcwbyh_id_uso6X8wj3_VOilQ8bRilN23suEufFEq5UjJaI3jLWolQD7MopotuyjY9_YRuxrSzAt_DLPfU9M9m9F8H7PGV3vHA5yoVQUMFtlLtvgDxcu6a7Q
S006,Whiteboard Marker,120,0.90,1.80,Deli,Marker,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRdC2FYJCLmaH84bvgTu-ImxUHzacm2rDWOB_-DYCddE4hNEeVkCmjYR0lBvCnMeXjufv8ewRtW4EwsnpDBe7EWrZXNncHtN1ljmF29AgZeyGhqEDFueJNWAQ
S007,Stapler Mini,30,2.50,4.00,Kangaro,Stapler,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSULozp6gFwBV1WAt7VsOguszR5YPBn9e71eKWL3uc699g-EUvAWHS6wgcWsSHsJWIUOZVSEgedKhEHdbYxnFbQCF_SVPY4eWHsCzOiaQk
S008,Drawing Pad A3,40,1.80,3.50,Camlin,DrawingPad,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRhAQ1Cmx9_DtTcEq4OkQJz9iOiUr_zYi2-3PMvSl4wC3gdKmFemqKYiEya5ZMl8xRvc80TIL0R_h_p05K6mxNX6UvnAzwt_Voj8cteRSSPk-ECpVRGAE26
S009,Pencil HB,300,0.15,0.30,Nataraj,Pencil,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRVI63FWkwNMAszIqGNwpzZI_MP9CqJ6bxI3NIf4glZTu0beuAaB-Ye05-T_1s77bPYtibh-2qJxBq5_Mnh1eLhhGNRURGtxZdJlu-hBXNXS3X3UeRpFF6j
S010,Correction Pen,45,0.85,1.75,Luxor,CorrectionPen,https://www.faber-castell.com/-/media/Products/Product-Repository/Miscellaneous-ballpoint-pens/24-24-05-Ballpoint-pen/143499-Ballpoint-Pen-Basic-M-black/Images/143499_0_PM99.ashx?bc=ffffff&as=0&h=900&w=900&sc_lang=en-Glob&hash=39297B315D64AC3EF9FF2479FE18C876com/shopping?q=tbn:ANd9GcSvC6xol8Y4cJfGm2EfegjkQszyAdxVF4Glukzd83NDiztDr3vWeuQ2DJhlYy-pcyTImSmF0Phh5dFk5zLeXydrN6BPFHqtHF54p2-TCp5SeBEJW6N2Wv8H
